event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29822960424,true,2015-10-29 12:00:00.000,129.160752,35.158655,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960425,true,2015-10-31 03:46:00.000,129.22356,35.16076,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960426,true,2015-11-01 09:29:00.000,129.27685,35.20085,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960427,true,2015-11-02 12:21:00.000,129.42136,35.28637,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960428,true,2015-11-03 08:27:00.000,129.26121,35.28423,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960429,true,2015-11-04 04:41:00.000,129.40186,35.24925,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960430,true,2015-11-05 16:57:00.000,129.20479,35.16876,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960431,true,2015-11-06 08:32:00.000,129.1083,35.08003,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960432,true,2015-11-07 08:03:00.000,129.07506,35.02555,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960433,true,2015-11-08 07:37:00.000,129.16335,34.93991,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960434,true,2015-11-09 07:23:00.000,129.31692,34.63266,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
29822960435,true,2015-11-10 02:24:00.000,129.30185,34.55539,"radio-transmitter","Chelonia mydas","152988","KOR-2","Marine bioresource conservation and restoration research"
